Store Name,Rating,Date,Body,Location,Time Spent with App
My Event Decor,5,"January 21, 2020",The Postcode Shipping Extension is worth six stars! The support you get from Zann is the best of any app I've ever used and he is a delight to work with. He explained I didn't need the Australia Post app which saved me money and walked me through how to set up the postcodes. This has paid for itself already as customers get to choose either the free pickup-instore option or the fee for their city or regional area. I wish I had added this years ago. Would recommend this app to anyone!,Australia,15 days using the app
VetMediUK,1,"December 4, 2022","I can not get any support, taken money and not working. The customer support does not seem to work,",United Kingdom,About 1 year using the app
Clear Head Drinks,5,"August 17, 2021",The team at Postcode were amazing with helping us set up the postcode app to our needs. highly recommend,New Zealand,13 days using the app
Stencils Online,5,"August 7, 2016","If you're considering buying this, just do it! Zann is a champ and fully supports this app and you don't get a million spam emails as a result of installing it.",Australia,13 days using the app
Mugs Sims,5,"October 17, 2016","Kudos to Zann! I've tried a lot of app and this one is the only app that works with what I need. Shipping rates based both on weight and location and not even other app can do it as simple as what Zann did with this app, considering that the other apps are too expensive! Even the installation is just a clicked of a button. This app is too good to be true! Plus, Zann is so responsive, I didn't even imagine that he would respond right away but HE DID. Excellent job Zann! Keep making us happy! lol :)",Philippines,11 days using the app
Good Little Find Ltd,5,"April 20, 2017","I am bowled over by the support I've received from Zann, who has very patiently worked through some issues I had in setting up postcode restrictions due to my mistake in set-up.  I thoroughly recommend this app but most of all, Zann, who is a model developer with the highest customer care standards. I'm truly grateful. The app also works splendidly and support is prompt and thorough from start to end.",United Kingdom,11 days using the app
NZ Farming Store,5,"March 5, 2020","Differentiating shipping areas in New Zealand with Shopify is impossible. This app solved all my shipping problems, helped me separate out Rural Delivery areas so I can charge my customers and was relatively easy once I got my head around it. I had a few questions along the way and Zann was super helpful and very efficient with coming back to me!",New Zealand,10 days using the app
Beds on Legs Ltd,5,"Edited February 16, 2021",I used this app to apply charges to certain post code areas and it has been great. The staff were very helpful at getting it installed.,United Kingdom,7 days using the app
Water Wipes,5,"August 24, 2016",Very useful App and Zann is extremely fast to reply and very helpful. Recommended,Australia,6 days using the app
Happy Tummies Pty Ltd,5,"September 23, 2016","Great app that works well for my complex shipping rules. Thanks for being so awesome and helping me set it up, even on a Sunday :) Lisa",Australia,6 days using the app
TraditionalBeams,5,"November 8, 2021","This app has made it possible to do the things we needed to do, and the support provided has been absolutely amazing! Fast responses and always happy to help not matter how big or small the query, they will help you get it working right for your shop. Brilliant customer service. Would definitely recommend.",United Kingdom,6 days using the app
Think Water Test,5,"August 13, 2018","Fantastic app - did just what the client needed, and we can make it as granular as needed,",Australia,5 days using the app
Zurego,5,"February 26, 2019","I wanted the option to differentiate delivery options by area to match our delivery service provider and this service appears to meet our requirements. As many other reviewers have said, Zann was very helpful when I couldn't understand how to set up my different zones, and resolved the issue in minutes. Haven't gone live yet, so will update if we have any future 'real world' observations.",United Kingdom,5 days using the app
Rugabub,5,"August 12, 2022",Easy to use and customer service is amazing. I literally got an answer a few minutes after reaching out with a customised step to step guide. Thank you so much!,Australia,3 days using the app
Party Things Canada,1,"May 5, 2021","I cannot provide information on how the App works, because I was unable to get pass the shipping zones configuration. Customer service was impossible, because although they respond fast, I had no less than 3 people answering my one question. Each had a different version of what the App can and can not do, and each one had a different interpretation of my question. If you wish to have the App showing rates AFTER a minimum cart amount has been reached, you still have to come up with a defined rate (not carrier rates, which is my preference) to add to their field in order to be able to continue the set up. Ramon, Carlos, Santiago and Jerome seemed to believe I was asking for the App to block or modify the carrier live rates when clearly, I'm asking for the opposite, which is NOT TO have to input a field (orders under $50) where I want only live rates to be the ones show to customers. I felt I was on a hidden camera show where people respond totally the opposite every time to see how you react.... still scratching my head.",Canada,4 days using the app
Rugabub,5,"August 12, 2022",Easy to use and customer service is amazing. I literally got an answer a few minutes after reaching out with a customised step to step guide. Thank you so much!,Australia,3 days using the app
Pictobraille,5,"August 7, 2016","The support on this app is excellent. I can very much echo the other reviews here. The response from Zann is not only quick, but he's spot on and gets it sorted!",Australia,3 days using the app
The Flying Zucchinis,5,"April 16, 2021","Flawless support from the team at Postcode Shipping. Quick turnaround on questions, attentive customer service when we had issues with a different app's integration.",Australia,3 days using the app
The Drink Society,5,"Edited August 31, 2020","This app is simply amazing, it solved all our postcode shipping issues in Australia with ease.",Australia,2 days using the app
Ultraceuticals IE,5,"September 1, 2023",This app worked well for allowing different shipping rates within a country which is not supported by the default Shopify shipping. The support is also fantastic!,Ireland,1 day using the app
Urbi Furniture,5,"April 14, 2019",Fantastic app and top-drawer customer service from Zann. I had a problem and he responded and solved it in a matter of minutes. Great stuff!,Australia,About 24 hours using the app
Talleres Sustentables,5,"July 1, 2020","I´ve been struggling with my shipping zip code based fees for over a year. A Shopify Guru recommended to try this app and I felt quite lazy to try it out, feeling overwhelmed it would be to hard to start all over again. I was able to set it up in less than half an hour and had it replicated in all of my stores. There aren´t enough stars to rate this amazing app! It even works in kilos and with my currency, which seems something small to be grateful about, but it has been something I haven´t found in all the Shipping apps I tried. Oh... and the language is easy, straight forward, and the person in customer care is very nice! Keep creating more apps!",Argentina,About 3 hours using the app
J Farren-Price,5,"June 1, 2020",Great app and fantastic customer support! Sent a message to support this morning and Zann responded within a few minutes with a quick fix. Highly recommend. Thank you Zann :),Australia,About 2 hours using the app
Budget Furniture Online,5,"May 3, 2020","Although Zann couldn't help me with my shipping problems today he actually called me (omg thats amazing in itself) and sent me to another app.  
Thank you much appreciated and I wish this app could have solved my issue.  Next time.",Australia,About 1 hour using the app
Venom Skateboards,5,"February 11, 2022","If you are a UK based seller and use a mixture of shipping services like Royal Mail & DPD, then you'll likely need to charge different rates for certain Postcode areas as the Carriers charge you different rates (i.e sending to Scottish Highlands). Shopify won't let you do this unless you are on Plus which is too pricey for most of us. Thankfully this awesome app allows you to set up tricky postcode shipping rules for the UK and further afield, the setup and interface are easy to use and the results are spot on. Honestly, we couldn't run our store without this app, its an absolute must for us.",United Kingdom,About 1 hour using the app
Carina Michelli,5,"July 1, 2020","FIVE stars for this app, especially for Zann, who works so FAST!  Thanks SUPER-Zann! I hope lots of people get to try this app which actually works.",Argentina,20 minutes using the app
Mínima Huella,5,"July 1, 2020","Apart of having a great app that WORKS, is worth it´s value... they have an angel sitting behind the customer care desk! Thanks to the invisible on the other end of the world helper!!! I want to hug you from the distance!",Argentina,17 minutes using the app
Ukelele Muebles,5,"July 1, 2020",It took me far too long to find this app but FINALLY someone who understands zip code shipping!! and it works!!!!,Argentina,12 minutes using the app
D-Shop.fr,1,"April 5, 2019","This app doesnt works for basic plan...
i dont have a specific carrier and i just want locate postcodes zone  in Paris.
Unable to do that with this app..",France,15 minutes using the app
Sneaker Finder,1,"January 28, 2024","",United Kingdom,7 minutes using the app
